No,Nama KKKS,Tahun,Bulan,Skor_Komunikasi,Skor_Laporan,Skor_Rapat,Skor_Partisipasi,Label_Akhir
1,Conrad Asia Energy,2024,Januari,2,3,3,3,Harmonis
2,PT Medco E&P Malaka,2024,Januari,3,3,3,3,Harmonis
3,PT Pema Global Energi,2024,Januari,2,3,3,3,Harmonis
4,Triangle Pase,2024,Januari,1.5,1.5,1.5,3,Kurang Harmonis
5,Zaratex N.V.,2024,Januari,1.5,1.5,1.5,1,Kurang Harmonis
6,Conrad Asia Energy,2024,Februari,3,3,3,3,Harmonis
7,PT Pema Global Energi,2024,Februari,2,2.5,2,3,Harmonis
8,Triangle Pase,2024,Februari,2,2,1,3,Kurang Harmonis
9,Zaratex N.V.,2024,Februari,1,1,1,1,Kurang Harmonis
10,Conrad Asia Energy,2024,Maret,3,3,3,3,Harmonis
11,PT Pema Global Energi,2024,Maret,2,3,3,3,Harmonis
12,Triangle Pase,2024,Maret,1.5,1,1.5,1,Kurang Harmonis
13,Zaratex N.V.,2024,Maret,1,1,1,2,Kurang Harmonis
14,Conrad Asia Energy,2024,April,3,3,3,3,Harmonis
15,PT Medco E&P Malaka,2024,April,3,3,3,3,Harmonis
16,PT Pema Global Energi,2024,April,2,2.5,2,3,Harmonis
17,Triangle Pase,2024,April,1.5,1.5,1.5,2,Kurang Harmonis
18,Zaratex N.V.,2024,April,1,1,1,1,Kurang Harmonis
19,Conrad Asia Energy,2024,Mei,3,3,3,3,Harmonis
20,PT Pema Global Energi,2024,Mei,2,3,3,3,Harmonis
21,Triangle Pase,2024,Mei,2,2,2,3,Kurang Harmonis
22,Zaratex N.V.,2024,Mei,1,1,1,2,Kurang Harmonis
23,Conrad Asia Energy,2024,Juni,3,3,3,3,Harmonis
24,PT Pema Global Energi,2024,Juni,2,2,2,3,Harmonis
25,Triangle Pase,2024,Juni,1.5,1,1.5,1,Kurang Harmonis
26,Zaratex N.V.,2024,Juni,1,1,1,1,Kurang Harmonis
27,Conrad Asia Energy,2024,Juli,3,3,3,3,Harmonis
28,PT Pema Global Energi,2024,Juli,2,3,2.5,3,Harmonis
29,Triangle Pase,2024,Juli,1.5,1.5,1.5,1,Kurang Harmonis
30,Zaratex N.V.,2024,Juli,1,1,1,2,Kurang Harmonis
31,Conrad Asia Energy,2024,Agustus,3,3,3,3,Harmonis
32,PT Pema Global Energi,2024,Agustus,2,3,3,3,Harmonis
33,Triangle Pase,2024,Agustus,2,2,2,2,Kurang Harmonis
34,Zaratex N.V.,2024,Agustus,1,1,1,1,Kurang Harmonis
35,Conrad Asia Energy,2024,September,3,3,3,3,Harmonis
36,PT Medco E&P Malaka,2024,September,3,3,3,3,Harmonis
37,PT Pema Global Energi,2024,September,2,2,2,3,Harmonis
38,Triangle Pase,2024,September,1.5,1,1.5,1,Kurang Harmonis
39,Zaratex N.V.,2024,September,1,1,1,1,Kurang Harmonis
40,Conrad Asia Energy,2024,Oktober,3,3,3,3,Harmonis
41,PT Pema Global Energi,2024,Oktober,2,3,2,3,Harmonis
42,Triangle Pase,2024,Oktober,1,1,1,1,Kurang Harmonis
43,Zaratex N.V.,2024,Oktober,1,1,1,1,Kurang Harmonis
44,Conrad Asia Energy,2024,November,3,3,3,3,Harmonis
45,PT Pema Global Energi,2024,November,2,3,3,3,Harmonis
46,Triangle Pase,2024,November,1.5,1.5,1,1,Kurang Harmonis
47,Zaratex N.V.,2024,November,1,1,1,2,Kurang Harmonis
48,Conrad Asia Energy,2024,Desember,3,3,3,3,Harmonis
49,PT Pema Global Energi,2024,Desember,2,3,3,3,Harmonis
50,Triangle Pase,2024,Desember,1,1,1,1,Kurang Harmonis
51,Conrad Asia Energy,2025,Januari,3.0,3.0,3.0,2.5,Harmonis
52,PT Medco E&P Malaka,2025,Januari,3.0,2.5,3.0,2.5,Harmonis
53,PT Pema Global Energi,2025,Januari,2.0,2.0,3.0,2.5,Harmonis
54,Triangle Pase,2025,Januari,1.5,1.5,2.0,2.0,Kurang Harmonis
