No,Nama KKKS,Tahun,Bulan,Jenis Interaksi,Detail Aktivitas,Keterangan,Skor,Label
1,Conrad Asia Energy,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,2,Harmonis
2,Conrad Asia Energy,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,2,Harmonis
3,Conrad Asia Energy,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
4,Conrad Asia Energy,2024,Januari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
5,Conrad Asia Energy,2024,Januari,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,3,Harmonis
6,Conrad Asia Energy,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
7,Conrad Asia Energy,2024,Januari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
8,PT Medco E&P Malaka,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),3,Harmonis
9,PT Medco E&P Malaka,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,3,Harmonis
10,PT Medco E&P Malaka,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,3,Harmonis
11,PT Medco E&P Malaka,2024,Januari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",3,Harmonis
12,PT Medco E&P Malaka,2024,Januari,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,3,Harmonis
13,PT Medco E&P Malaka,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",3,Harmonis
14,PT Medco E&P Malaka,2024,Januari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,3,Harmonis
